20 0,20 0,20 0,20 0,20 0,20 0,20 0
4175808,4188041,4215799,4183350,4194495,4269603,4171272
3159148,3163933,3177849,3161333,3167775,3199286,3157119
2009773,2011143,2016428,2010207,2012845,2022936,2009140
1074017,1074290,1075768,1074070,1074834,1077225,1073884
479482,479516,479804,479485,479635,480031,479465
176976,176978,177013,176976,176994,177035,176975
53124,53124,53126,53124,53125,53127,53124
12650,12650,12650,12650,12650,12650,12650
2300,2300,2300,2300,2300,2300,2300
300,300,300,300,300,300,300
25,25,25,25,25,25,25
1,1,1,1,1,1,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

30 0,30 0,30 0,30 0,30 0,30 0,30 0
n:30,n:30,n:30,n:30,n:30,n:30,n:30
1731440144,1725659002,1688748311,1722262885,1682611888,1720528509,1602621347
1,1,1,1,1,1,1
2,2,2,2,2,2,2
4,4,4,4,4,4,4
8,8,8,8,8,8,8
16,16,16,16,16,16,16
32,32,32,32,32,32,32
64,64,64,64,64,64,64
128,128,128,128,128,128,128
256,256,256,256,256,256,256
512,512,512,512,512,512,512
1024,1024,1024,1024,1024,1024,1024
2048,2048,2048,2048,2048,2048,2048
4096,4096,4096,4096,4096,4096,4096
8192,8192,8192,8192,8192,8192,8192
16384,16128,16384,16384,16128,16384,15872
32768,32016,32768,32736,32256,31744,31744
65536,64032,65536,65472,62720,61568,61504
130816,128064,131072,126804,124504,123136,123008
261632,256128,262144,253164,249008,245824,238816
506944,508116,524288,503300,498016,491648,463624
1013744,1016232,1048576,991878,996032,981712,921780
1990584,2031690,2088960,1983756,1964272,1960472,1843280
3981168,4048852,3993088,3963976,3820444,3920944,3576859
7918476,7745581,7706592,7925480,7533744,7841888,7153718
15836208,15482701,14954504,15619552,15025816,15200320,13877230
31672416,30965402,29701876,29739784,30050160,29305964,27751430
60659104,60059386,59316819,57696720,58270732,57736178,55324935
117287669,113773518,116948057,115345934,112592206,115459356,106304146
227817399,226881856,220738428,229152228,217726748,227961485,207457615
429301918,433825580,422634703,432118761,422165744,431838456,403211554
832930995,828807337,808568133,826710573,811466975,827335047,774247849
,,,,,,
306391,310145,301705,306344,298562,304771,286614
832930995,828807337,808568133,826710573,811466975,827335047,774247849
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
66,56,7,34,53,36,41
2947,2172,807,1566,2674,2123,1851
50276,40248,22982,32562,45716,41160,31670
438776,376483,265285,334243,393365,384383,285232
2335686,2106291,1677787,1980263,2088620,2134509,1603736
8495215,7940882,6826106,7697766,7668870,7994972,6221097
22781966,21846391,19725243,21505243,20900214,21897206,17784637
47478876,46338762,43228066,45961752,44349385,46320807,39261237
79782949,78780475,75141235,78435484,75799346,78633164,69267440
110940514,110347414,106873967,110079502,106935885,110066182,100184648
129993716,129840634,127098542,129663376,126748587,129488977,121042392
129955864,130074003,128270787,129975021,127809317,129743901,123830413
111739390,111926778,110937548,111880883,110573124,111683686,108277190
83013576,83154454,82703417,83137145,82492767,83011856,81399017
53378301,53451338,53281978,53446168,53188108,53384630,52761341
29680296,29708340,29656782,29707163,29624156,29683677,29489735
14222652,14230712,14218294,14230520,14209532,14223645,14176144
5837975,5839675,5837397,5839655,5835630,5838158,5829328
2033902,2034152,2033853,2034151,2033600,2033922,2032750
593621,593644,593619,593644,593596,593622,593523
142500,142501,142500,142501,142499,142500,142496
27405,27405,27405,27405,27405,27405,27405
4060,4060,4060,4060,4060,4060,4060
435,435,435,435,435,435,435
30,30,30,30,30,30,30
1,1,1,1,1,1,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

